DATE,CPI,Food and Beverages,Clothing,New Vehicles,School Costs and Childcare,Housing,"IT, Hardware and Services",Computers
5/1/2013,231.893,236.387,126.916,145.955,641.058,226.896,8.542,57.175
6/1/2013,232.445,236.912,126.995,146.076,642.074,228.068,8.504,56.745
7/1/2013,232.9,237.133,127.645,145.726,644.16,228.374,8.449,56.061
8/1/2013,233.456,237.407,127.412,145.316,646.535,228.564,8.478,55.917
9/1/2013,233.544,237.464,127.281,145.457,647.333,228.808,8.494,55.864
10/1/2013,233.669,237.693,126.988,145.488,649.092,228.362,8.451,55.227
11/1/2013,234.1,237.895,127.333,145.643,651.362,228.449,8.436,54.732
12/1/2013,234.719,238.133,128.577,145.766,653.524,228.892,8.441,55.373
1/1/2014,235.288,238.417,127.882,145.88,654.259,230.256,8.41,54.889
2/1/2014,235.547,239.247,127.279,146.421,656.944,230.905,8.384,54.34
3/1/2014,236.028,240.24,127.439,146.348,658.904,231.968,8.381,54.203
4/1/2014,236.468,240.995,127.475,146.724,660.584,231.689,8.375,53.981
5/1/2014,236.918,242.107,127.773,146.708,662.441,232.744,8.372,53.46
6/1/2014,237.231,242.345,127.982,146.067,664.26,233.894,8.37,53.18
7/1/2014,237.498,242.883,127.942,146.086,665.773,234.475,8.392,52.713
8/1/2014,237.46,243.505,127.357,145.873,667.762,234.571,8.379,52.053
9/1/2014,237.477,244.148,127.813,145.88,668.789,234.675,8.327,51.325
10/1/2014,237.43,244.5,127.761,146.306,670.744,234.434,8.323,51.022
11/1/2014,236.983,245.106,127.254,146.481,672.722,234.315,8.27,50.263
12/1/2014,236.252,245.84,126.637,146.524,674.253,234.658,8.221,49.52
1/1/2015,234.747,245.764,126.129,146.558,677.508,235.485,8.194,49.19
2/1/2015,235.342,246.056,125.96,147.345,678.628,236.016,8.177,49.146
3/1/2015,235.976,245.685,126.626,147.574,681.693,236.435,8.17,48.717
4/1/2015,236.222,245.615,126.39,147.844,684.516,236.777,8.155,48.707
5/1/2015,237.001,245.886,125.831,147.889,686.271,237.175,8.106,48.458
6/1/2015,237.657,246.511,125.51,147.845,688.241,238.568,8.066,48.03
7/1/2015,238.034,246.733,125.689,147.154,690.594,239.085,8.017,47.713
8/1/2015,238.033,247.295,126.166,146.704,691.881,239.298,7.939,47.314
9/1/2015,237.498,247.984,126.011,146.57,694.559,239.651,7.957,47.436
10/1/2015,237.733,248.288,125.323,146.516,695.652,239.395,7.977,47.056
11/1/2015,238.017,248.075,125.724,146.804,697.44,239.325,7.946,46.741
12/1/2015,237.761,247.761,126.042,146.817,698.556,239.514,7.92,46.237
1/1/2016,237.652,247.967,124.999,147.456,699.997,240.424,7.897,45.424
2/1/2016,237.336,248.244,125.898,148.268,701.688,241.015,7.888,45.249
3/1/2016,238.08,247.699,125.843,148.227,703.289,241.485,7.909,45.269
4/1/2016,238.992,247.906,125.782,147.895,704.842,241.79,7.883,45.282
5/1/2016,239.557,247.575,126.707,147.646,706.506,242.811,7.839,44.853
6/1/2016,240.222,247.42,126.276,147.245,707.572,244.28,7.798,44.496
7/1/2016,240.101,247.406,125.881,147.119,708.778,244.936,7.784,44.205
8/1/2016,240.545,247.479,126.148,146.713,709.79,245.472,7.764,43.917
9/1/2016,241.176,247.528,125.914,146.499,710.985,246.127,7.767,43.77
10/1/2016,241.741,247.596,126.521,146.896,713.127,246.264,7.704,43.721
11/1/2016,242.026,247.525,126.605,147.027,714.182,246.271,7.733,43.576
12/1/2016,242.637,247.53,126.185,147.299,716.684,246.795,7.699,43.377
1/1/2017,243.62,247.865,126.077,148.848,717.809,247.942,7.703,43.475
2/1/2017,243.872,248.443,126.018,148.993,719.108,248.693,7.682,43.369
3/1/2017,243.766,248.926,126.606,148.543,719.923,248.978,7.665,42.818
4/1/2017,244.274,249.288,126.498,148.457,721.144,249.514,7.672,42.896
5/1/2017,244.069,249.686,125.698,148.033,722.28,250.376,7.655,42.361
6/1/2017,244.218,249.538,125.616,147.262,724.333,251.629,7.655,42.561
7/1/2017,244.28,250.032,125.307,146.19,724.916,251.87,7.626,42.973
8/1/2017,245.205,250.249,125.339,145.712,725.373,252.615,7.587,42.451
9/1/2017,246.551,250.678,125.604,145.037,727.79,252.984,7.56,42.19
10/1/2017,246.657,250.919,125.705,144.868,729.554,253.125,7.564,42.284
11/1/2017,247.378,251.045,124.831,145.442,731.309,253.177,7.534,42.04
12/1/2017,247.736,251.479,124.169,146.522,732.603,253.845,7.511,41.353
1/1/2018,248.721,251.948,125.144,146.996,733.229,254.857,7.51,41.455
2/1/2018,249.3,251.961,126.205,146.807,734.087,255.713,7.461,41.278
3/1/2018,249.517,252.082,126.887,146.727,733.604,256.388,7.445,41.249
4/1/2018,250.275,252.686,127.583,146.069,734.716,256.969,7.402,41.424
5/1/2018,250.786,252.706,127.69,146.349,736.101,257.907,7.452,41.37
6/1/2018,251.152,253.068,126.485,146.562,738.244,258.71,7.477,40.986
7/1/2018,251.345,253.531,125.57,146.526,740.311,259.268,7.495,40.23
8/1/2018,251.735,253.814,123.523,146.149,745.449,259.884,7.493,40.575
9/1/2018,252.183,254.201,124.885,145.715,747.007,259.941,7.518,41.092
10/1/2018,252.899,254.064,125.232,145.588,749.017,260.268,7.483,40.573
11/1/2018,252.822,254.686,124.601,145.826,751.046,260.473,7.432,39.841
12/1/2018,252.493,255.529,124.147,146.126,752.626,261.36,7.437,40.11
1/1/2019,252.441,256.076,125.112,147.059,754.198,262.284,7.427,40.044
2/1/2019,252.969,256.916,124.974,147.226,755.975,263.057,7.42,39.649
3/1/2019,254.147,257.285,123.998,147.788,758.597,263.886,7.402,39.889
4/1/2019,255.326,257.026,124.01,147.84,759.844,264.452,7.384,39.603
5/1/2019,255.371,257.571,124.039,147.659,761.62,265.137,7.372,39.339
6/1/2019,255.423,257.707,124.969,147.417,762.56,266.461,7.35,38.586
7/1/2019,255.925,257.998,124.813,147.035,763.383,267.101,7.408,39.745
8/1/2019,256.118,258.158,124.666,146.456,764.614,267.263,7.43,40.056
9/1/2019,256.532,258.74,124.385,145.854,765.861,267.822,7.376,39.73
10/1/2019,257.387,259.216,122.437,145.726,767.711,267.794,7.349,38.938
11/1/2019,257.989,259.598,122.843,145.728,769.056,267.925,7.373,38.868
12/1/2019,258.203,259.97,122.602,146.22,770.031,268.236,7.339,38.001
1/1/2020,258.687,260.579,123.344,147.253,772.307,269.468,7.343,37.728
2/1/2020,258.824,261.412,123.701,147.803,774.12,270.281,7.356,38.247
3/1/2020,257.989,262.132,121.943,147.124,775.829,270.273,7.369,38.706
4/1/2020,256.192,265.702,117.071,147.007,777.17,270.184,7.36,39.015
5/1/2020,255.942,267.473,114.423,147.222,778.204,270.823,7.354,38.629
6/1/2020,257.282,268.841,115.996,147.108,779.023,271.831,7.322,38.778
7/1/2020,258.604,268.047,116.782,147.803,780.778,272.445,7.328,38.686
8/1/2020,259.511,268.373,117.223,147.412,778.939,272.866,7.327,38.866
9/1/2020,260.149,268.621,116.788,147.361,777.554,273.116,7.278,37.459
10/1/2020,260.462,269.164,115.757,147.956,778.334,273.014,7.268,37.201
11/1/2020,260.927,269.15,116.528,148.063,779.569,273.29,7.278,37.964
12/1/2020,261.56,270.015,117.577,149.091,781.19,273.684,7.28,38.315
1/1/2021,262.231,270.212,120.178,149.377,781.586,274.336,7.247,38.316
2/1/2021,263.161,270.604,119.287,149.515,782.617,275.137,7.242,38.204
3/1/2021,264.793,270.946,118.949,149.321,781.866,276.028,7.256,37.453
4/1/2021,266.832,271.933,119.335,149.892,783.396,277.258,7.357,39.358
5/1/2021,268.551,273.122,120.793,152.143,786.046,278.648,7.363,39.611
6/1/2021,270.981,275.183,121.636,154.847,787.799,280.366,7.332,39.662
7/1/2021,272.265,277.091,121.687,157.203,789.467,281.604,7.374,40.135
8/1/2021,273.012,278.177,122.142,158.652,789.986,282.391,7.432,40.184
9/1/2021,274.138,280.608,120.779,160.244,793.205,283.744,7.483,40.649
10/1/2021,276.724,282.952,120.78,162.527,794.755,285.31,7.468,40.31
